#,Class,Status,Time
60,Aerial Yoga 空中瑜珈 by Marcus,FULL,2021-01-27 09:46:16.433149
60,Warm Stretch 溫和伸展 by Ethan Lee,FULL,2021-01-27 09:46:18.878516
60,Yoga Wheel 瑜珈輪 by Jun,FULL,2021-01-27 09:46:21.388530
120,Aerial Yoga 空中瑜珈 by Marcus,FULL,2021-01-27 10:03:09.997162
120,Warm Stretch 溫和伸展 by Ethan Lee,FULL,2021-01-27 10:03:12.266680
120,Yoga Wheel 瑜珈輪 by Jun,FULL,2021-01-27 10:03:14.620000
180,Aerial Yoga 空中瑜珈 by Marcus,FULL,2021-01-27 10:20:03.720883
180,Warm Stretch 溫和伸展 by Ethan Lee,FULL,2021-01-27 10:20:05.861457
180,Yoga Wheel 瑜珈輪 by Jun,FULL,2021-01-27 10:20:08.063321
240,Aerial Yoga 空中瑜珈 by Marcus,FULL,2021-01-27 10:36:57.072127
240,Warm Stretch 溫和伸展 by Ethan Lee,FULL,2021-01-27 10:36:59.107444
240,Yoga Wheel 瑜珈輪 by Jun,FULL,2021-01-27 10:37:01.224671
300,Aerial Yoga 空中瑜珈 by Marcus,FULL,2021-01-27 10:53:50.701249
300,Warm Stretch 溫和伸展 by Ethan Lee,FULL,2021-01-27 10:53:52.178230
300,Yoga Wheel 瑜珈輪 by Jun,FULL,2021-01-27 10:53:54.344414
360,Aerial Yoga 空中瑜珈 by Marcus,FULL,2021-01-27 11:10:43.814925
360,Warm Stretch 溫和伸展 by Ethan Lee,FULL,2021-01-27 11:10:45.331981
360,Yoga Wheel 瑜珈輪 by Jun,FULL,2021-01-27 11:10:47.633022
420,Aerial Yoga 空中瑜珈 by Marcus,FULL,2021-01-27 11:27:37.595477
420,Warm Stretch 溫和伸展 by Ethan Lee,FULL,2021-01-27 11:27:39.009542
420,Yoga Wheel 瑜珈輪 by Jun,FULL,2021-01-27 11:27:41.253890
480,Aerial Yoga 空中瑜珈 by Marcus,FULL,2021-01-27 11:44:31.339714
480,Warm Stretch 溫和伸展 by Ethan Lee,FULL,2021-01-27 11:44:32.772605
480,Yoga Wheel 瑜珈輪 by Jun,FULL,2021-01-27 11:44:34.971904
540,Aerial Yoga 空中瑜珈 by Marcus,FULL,2021-01-27 12:01:24.490780
540,Warm Stretch 溫和伸展 by Ethan Lee,FULL,2021-01-27 12:01:25.970295
540,Yoga Wheel 瑜珈輪 by Jun,FULL,2021-01-27 12:01:28.094735
600,Aerial Yoga 空中瑜珈 by Marcus,FULL,2021-01-27 12:18:17.758757
600,Warm Stretch 溫和伸展 by Ethan Lee,FULL,2021-01-27 12:18:19.031374
600,Yoga Wheel 瑜珈輪 by Jun,FULL,2021-01-27 12:18:21.757870
660,Aerial Yoga 空中瑜珈 by Marcus,FULL,2021-01-27 12:35:11.959849
660,Warm Stretch 溫和伸展 by Ethan Lee,FULL,2021-01-27 12:35:12.586630
660,Yoga Wheel 瑜珈輪 by Jun,FULL,2021-01-27 12:35:15.064803
720,Warm Stretch 溫和伸展 by Ethan Lee,FULL,2021-01-27 12:52:10.456246
720,Aerial Yoga 空中瑜珈 by Marcus,FULL,2021-01-27 12:52:10.878302
720,Yoga Wheel 瑜珈輪 by Jun,FULL,2021-01-27 12:52:11.505847
780,Warm Stretch 溫和伸展 by Ethan Lee,FULL,2021-01-27 13:09:07.342739
780,Yoga Wheel 瑜珈輪 by Jun,FULL,2021-01-27 13:09:07.343872
780,Aerial Yoga 空中瑜珈 by Marcus,FULL,2021-01-27 13:09:07.397456
840,Aerial Yoga 空中瑜珈 by Marcus,FULL,2021-01-27 13:26:01.699332
840,Warm Stretch 溫和伸展 by Ethan Lee,FULL,2021-01-27 13:26:01.699394
840,Yoga Wheel 瑜珈輪 by Jun,FULL,2021-01-27 13:26:02.009341
900,Aerial Yoga 空中瑜珈 by Marcus,FULL,2021-01-27 13:42:54.921824
900,Warm Stretch 溫和伸展 by Ethan Lee,FULL,2021-01-27 13:42:54.976119
900,Yoga Wheel 瑜珈輪 by Jun,FULL,2021-01-27 13:42:55.287225
960,Warm Stretch 溫和伸展 by Ethan Lee,FULL,2021-01-27 13:59:48.007106
960,Aerial Yoga 空中瑜珈 by Marcus,FULL,2021-01-27 13:59:48.007466
960,Yoga Wheel 瑜珈輪 by Jun,FULL,2021-01-27 13:59:48.477061
1020,Aerial Yoga 空中瑜珈 by Marcus,FULL,2021-01-27 14:16:41.544728
1020,Warm Stretch 溫和伸展 by Ethan Lee,FULL,2021-01-27 14:16:41.549830
1020,Yoga Wheel 瑜珈輪 by Jun,FULL,2021-01-27 14:16:42.038679
1080,Warm Stretch 溫和伸展 by Ethan Lee,FULL,2021-01-27 14:33:34.721479
1080,Aerial Yoga 空中瑜珈 by Marcus,FULL,2021-01-27 14:33:34.721937
1080,Yoga Wheel 瑜珈輪 by Jun,FULL,2021-01-27 14:33:35.190601
1095,Warm Stretch 溫和伸展 by Ethan Lee,BOOKED,2021-01-27 14:37:28.460453
1121,Yoga Wheel 瑜珈輪 by Jun,BOOKED,2021-01-27 14:48:27.266342
1140,Aerial Yoga 空中瑜珈 by Marcus,FULL,2021-01-27 15:04:49.541977
1200,Aerial Yoga 空中瑜珈 by Marcus,FULL,2021-01-27 15:55:29.253882
1260,Aerial Yoga 空中瑜珈 by Marcus,FULL,2021-01-27 16:46:09.255293
