#,Class,Status,Time
'1','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-09-29 13:15:02.173770'
'2','Yoga Tone 2' by 'Una',FULL,'2021-09-29 13:15:05.477711'
'3','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2021-09-29 13:15:08.771843'
'46','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-09-29 13:35:13.498304'
'47','Yoga Tone 2' by 'Una',FULL,'2021-09-29 13:35:16.663788'
'48','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2021-09-29 13:35:20.021812'
'91','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-09-29 13:55:24.829271'
'92','Yoga Tone 2' by 'Una',FULL,'2021-09-29 13:55:27.863184'
'93','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2021-09-29 13:55:31.416266'
'136','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-09-29 14:15:37.012036'
'137','Yoga Tone 2' by 'Una',FULL,'2021-09-29 14:15:39.543310'
'138','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2021-09-29 14:15:42.833894'
'181','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-09-29 14:35:48.924309'
'182','Yoga Tone 2' by 'Una',FULL,'2021-09-29 14:35:51.831796'
'183','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2021-09-29 14:35:54.024878'
'226','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-09-29 14:56:00.700266'
'227','Yoga Tone 2' by 'Una',FULL,'2021-09-29 14:56:03.050323'
'228','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2021-09-29 14:56:05.214705'
'271','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-09-29 15:16:12.526348'
'272','Yoga Tone 2' by 'Una',FULL,'2021-09-29 15:16:14.095733'
'273','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2021-09-29 15:16:16.270880'
'316','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-09-29 15:36:24.226178'
'317','Yoga Tone 2' by 'Una',FULL,'2021-09-29 15:36:25.178722'
'318','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2021-09-29 15:36:27.445009'
'361','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-09-29 15:56:35.937069'
'362','Yoga Tone 2' by 'Una',FULL,'2021-09-29 15:56:36.649718'
'363','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2021-09-29 15:56:38.532168'
'406','Yoga Tone 2' by 'Una',FULL,'2021-09-29 16:16:47.824308'
'407','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-09-29 16:16:47.902842'
'408','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2021-09-29 16:16:49.688277'
'451','Yoga Tone 2' by 'Una',FULL,'2021-09-29 16:36:59.118028'
'452','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-09-29 16:36:59.708018'
'453','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2021-09-29 16:37:00.858760'
'496','Yoga Tone 2' by 'Una',FULL,'2021-09-29 16:57:10.870755'
'497','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-09-29 16:57:11.557931'
'498','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2021-09-29 16:57:12.273341'
'541','Yoga Tone 2' by 'Una',FULL,'2021-09-29 17:17:22.326326'
'542','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2021-09-29 17:17:23.566682'
'543','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-09-29 17:17:23.575749'
'586','Yoga Tone 2' by 'Una',FULL,'2021-09-29 17:37:33.493514'
'587','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2021-09-29 17:37:34.732470'
'588','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-09-29 17:37:35.428556'
'631','Yoga Tone 2' by 'Una',FULL,'2021-09-29 17:57:44.668728'
'632','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2021-09-29 17:57:46.057439'
'633','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-09-29 17:57:47.225591'
'676','Yoga Tone 2' by 'Una',FULL,'2021-09-29 18:17:55.732646'
'677','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2021-09-29 18:17:57.225249'
'678','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-09-29 18:17:58.930871'
'721','Yoga Tone 2' by 'Una',FULL,'2021-09-29 18:38:06.929703'
'722','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2021-09-29 18:38:08.396970'
'723','Yoga Wheel 瑜珈輪' by 'Una',FULL,'2021-09-29 18:38:10.693323'
'742','Yoga Wheel 瑜珈輪' by 'Una',BOOKED,'2021-09-29 18:47:16.527092'
'751','Gentle Yoga 和緩瑜珈' by 'Una',FULL,'2021-09-29 18:52:56.709669'
'752','Yoga Tone 2' by 'Una',BOOKED,'2021-09-29 18:53:56.148800'
'753','Gentle Yoga 和緩瑜珈' by 'Una',BOOKED,'2021-09-29 18:55:18.528437'
