#,Class,Status,Time
'1','Vinyasa Yoga 流暢瑜珈' by 'Una',FULL,'2022-12-03 20:35:30.240925'
'2','Vinyasa Yoga 流暢瑜珈' by 'Una',FULL,'2022-12-03 20:37:20.877519'
'3','Vinyasa Yoga 流暢瑜珈' by 'Una',FULL,'2022-12-03 20:39:11.534488'
'4','Vinyasa Yoga 流暢瑜珈' by 'Una',FULL,'2022-12-03 20:41:02.111437'
'5','Vinyasa Yoga 流暢瑜珈' by 'Una',FULL,'2022-12-03 20:42:52.739285'
'6','Vinyasa Yoga 流暢瑜珈' by 'Una',FULL,'2022-12-03 20:44:43.942591'
'7','Vinyasa Yoga 流暢瑜珈' by 'Una',FULL,'2022-12-03 20:46:34.644858'
'8','Vinyasa Yoga 流暢瑜珈' by 'Una',FULL,'2022-12-03 20:48:25.265847'
'9','Vinyasa Yoga 流暢瑜珈' by 'Una',FULL,'2022-12-03 20:50:15.847800'
'10','Vinyasa Yoga 流暢瑜珈' by 'Una',FULL,'2022-12-03 20:52:06.475876'
'11','Vinyasa Yoga 流暢瑜珈' by 'Una',FULL,'2022-12-03 20:53:57.320644'
'12','Vinyasa Yoga 流暢瑜珈' by 'Una',FULL,'2022-12-03 20:55:47.913846'
'13','Vinyasa Yoga 流暢瑜珈' by 'Una',FULL,'2022-12-03 20:57:38.545867'
'14','Vinyasa Yoga 流暢瑜珈' by 'Una',FULL,'2022-12-03 20:59:29.162253'
'15','Vinyasa Yoga 流暢瑜珈' by 'Una',FULL,'2022-12-03 21:01:19.806946'
'16','Vinyasa Yoga 流暢瑜珈' by 'Una',FULL,'2022-12-03 21:03:10.420422'
'17','Vinyasa Yoga 流暢瑜珈' by 'Una',FULL,'2022-12-03 21:05:01.041047'
'18','Vinyasa Yoga 流暢瑜珈' by 'Una',FULL,'2022-12-03 21:06:51.761855'
'19','Vinyasa Yoga 流暢瑜珈' by 'Una',FULL,'2022-12-03 21:08:42.341861'
'20','Vinyasa Yoga 流暢瑜珈' by 'Una',FULL,'2022-12-03 21:10:32.966672'
'21','Vinyasa Yoga 流暢瑜珈' by 'Una',FULL,'2022-12-03 21:12:23.602726'
'22','Vinyasa Yoga 流暢瑜珈' by 'Una',FULL,'2022-12-03 21:14:14.201434'
'23','Vinyasa Yoga 流暢瑜珈' by 'Una',FULL,'2022-12-03 21:16:04.828735'
'24','Vinyasa Yoga 流暢瑜珈' by 'Una',FULL,'2022-12-03 21:17:55.490224'
'25','Vinyasa Yoga 流暢瑜珈' by 'Una',FULL,'2022-12-03 21:19:46.112109'
'26','Vinyasa Yoga 流暢瑜珈' by 'Una',FULL,'2022-12-03 21:21:36.744488'
'27','Vinyasa Yoga 流暢瑜珈' by 'Una',FULL,'2022-12-03 21:23:27.362746'
'28','Vinyasa Yoga 流暢瑜珈' by 'Una',FULL,'2022-12-03 21:25:18.028482'
'29','Vinyasa Yoga 流暢瑜珈' by 'Una',FULL,'2022-12-03 21:27:08.620970'
'30','Vinyasa Yoga 流暢瑜珈' by 'Una',FULL,'2022-12-03 21:28:59.208286'
'31','Vinyasa Yoga 流暢瑜珈' by 'Una',FULL,'2022-12-03 21:32:26.334407'
'32','Vinyasa Yoga 流暢瑜珈' by 'Una',FULL,'2022-12-03 21:34:16.970328'
'33','Vinyasa Yoga 流暢瑜珈' by 'Una',FULL,'2022-12-03 21:36:07.595484'
'34','Vinyasa Yoga 流暢瑜珈' by 'Una',BOOKED,'2022-12-03 21:37:40.697349'
