#,Class,Status,Time
'1','Hatha Basic 哈達基礎' by 'Una',FULL,'2022-09-07 18:27:28.793347'
'2','Yoga Tone 2' by 'Una',FULL,'2022-09-07 18:27:43.059930'
'3','Counter Flow 1' by 'Marcus',FULL,'2022-09-07 18:27:57.174085'
'4','Chair yoga 椅子瑜珈' by 'Marcus',FULL,'2022-09-07 18:28:11.812938'
'5','Hatha Basic 哈達基礎' by 'Una',FULL,'2022-09-07 18:29:19.386832'
'6','Yoga Tone 2' by 'Una',FULL,'2022-09-07 18:29:33.654147'
'7','Counter Flow 1' by 'Marcus',FULL,'2022-09-07 18:29:47.846917'
'8','Chair yoga 椅子瑜珈' by 'Marcus',FULL,'2022-09-07 18:30:02.409736'
'9','Hatha Basic 哈達基礎' by 'Una',FULL,'2022-09-07 18:31:10.072445'
'10','Yoga Tone 2' by 'Una',FULL,'2022-09-07 18:31:24.244438'
'11','Counter Flow 1' by 'Marcus',FULL,'2022-09-07 18:31:38.466717'
'12','Chair yoga 椅子瑜珈' by 'Marcus',FULL,'2022-09-07 18:31:52.999424'
'13','Hatha Basic 哈達基礎' by 'Una',FULL,'2022-09-07 18:33:01.212958'
'14','Yoga Tone 2' by 'Una',FULL,'2022-09-07 18:33:14.936612'
'15','Counter Flow 1' by 'Marcus',FULL,'2022-09-07 18:33:29.041805'
'16','Chair yoga 椅子瑜珈' by 'Marcus',FULL,'2022-09-07 18:33:43.614304'
'17','Hatha Basic 哈達基礎' by 'Una',FULL,'2022-09-07 18:34:51.837823'
'18','Yoga Tone 2' by 'Una',FULL,'2022-09-07 18:35:05.556080'
'19','Counter Flow 1' by 'Marcus',FULL,'2022-09-07 18:35:19.653975'
'20','Chair yoga 椅子瑜珈' by 'Marcus',FULL,'2022-09-07 18:35:34.199978'
'21','Hatha Basic 哈達基礎' by 'Una',FULL,'2022-09-07 18:36:42.463020'
'22','Yoga Tone 2' by 'Una',FULL,'2022-09-07 18:36:56.169973'
'23','Counter Flow 1' by 'Marcus',FULL,'2022-09-07 18:37:10.322250'
'24','Chair yoga 椅子瑜珈' by 'Marcus',FULL,'2022-09-07 18:37:24.836120'
