#,Class,Status,Time
'1','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 20:50:07.142022'
'2','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 20:51:57.764952'
'3','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 20:53:48.400604'
'4','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 20:55:39.023538'
'5','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 20:57:29.633932'
'6','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 20:59:20.354304'
'7','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 21:01:11.190108'
'8','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 21:03:01.862022'
'9','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 21:04:52.485630'
'10','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 21:06:43.125933'
'11','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 21:08:33.799116'
'12','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 21:10:24.394350'
'13','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 21:12:15.178401'
'14','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 21:14:05.791530'
'15','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 21:15:56.435694'
'16','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 21:17:47.033651'
'17','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 21:19:37.637209'
'18','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 21:21:28.277683'
'19','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 21:23:18.972491'
'20','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 21:25:09.786933'
'21','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 21:27:00.418162'
'22','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 21:28:51.045321'
'23','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 21:30:41.646803'
'24','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 21:32:32.304613'
'25','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 21:34:22.920200'
'26','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 21:36:13.563124'
'27','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 21:38:04.199459'
'28','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 21:39:54.905340'
'29','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 21:41:45.545925'
'30','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 21:43:36.190929'
'31','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 21:45:27.568118'
'32','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 21:47:18.293041'
'33','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 21:49:08.895421'
'34','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 21:50:59.547708'
'35','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 21:52:50.141809'
'36','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 21:54:40.799132'
'37','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 21:56:31.421519'
'38','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 21:58:22.056093'
'39','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 22:00:12.716773'
'40','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 22:02:03.337905'
'41','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 22:03:53.988322'
'42','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 22:05:44.619714'
'43','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 22:07:35.328948'
'44','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 22:09:25.941388'
'45','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 22:11:16.562686'
'46','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 22:13:07.234757'
'47','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 22:14:57.888254'
'48','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 22:16:48.507055'
'49','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 22:18:39.414562'
'50','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 22:20:30.062691'
'51','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 22:22:20.705243'
'52','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 22:24:11.347385'
'53','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 22:26:02.012457'
'54','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 22:27:52.608570'
'55','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 22:29:43.322987'
'56','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 22:31:33.974125'
'57','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 22:33:24.595988'
'58','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 22:35:15.236663'
'59','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 22:37:05.878175'
'60','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 22:38:56.467998'
'61','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 22:40:47.121222'
'62','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 22:42:37.731599'
'63','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 22:44:28.489640'
'64','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 22:46:19.291592'
'65','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 22:48:09.885849'
'66','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 22:50:00.520040'
'67','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 22:51:51.197213'
'68','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 22:53:41.824554'
'69','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 22:55:32.540092'
'70','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 22:57:23.219706'
'71','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 22:59:13.872283'
'72','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:01:04.562728'
'73','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:02:55.708453'
'74','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:04:46.474642'
'75','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:06:37.085861'
'76','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:08:27.731629'
'77','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:10:18.323837'
'78','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:12:08.950371'
'79','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:13:59.600079'
'80','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:15:50.326328'
'81','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:17:40.981155'
'82','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:19:31.643866'
'83','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:21:22.245513'
'84','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:23:12.866150'
'85','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:25:03.529515'
'86','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:26:54.140069'
'87','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:28:44.781903'
'88','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:30:35.427559'
'89','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:32:26.048312'
'90','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:34:16.756692'
'91','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:36:07.586627'
'92','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:37:58.218094'
'93','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:39:48.870369'
'94','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:41:39.535516'
'95','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:43:30.155950'
'96','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:45:20.890252'
'97','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:47:11.590046'
'98','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:49:02.383678'
'99','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:50:53.003824'
'100','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:52:43.703949'
'101','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:54:34.349447'
'102','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:56:25.053053'
'103','Counter Flow 1' by 'Marcus',FULL,'2023-07-10 23:58:15.730624'
'104','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 00:00:06.350302'
'105','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 00:01:57.307914'
