#,Class,Status,Time
20,Aerial Yoga 空中瑜珈 by Marcus,FULL,2021-01-27 22:19:46.386660
40,Aerial Yoga 空中瑜珈 by Marcus,FULL,2021-01-27 22:36:47.483292
60,Aerial Yoga 空中瑜珈 by Marcus,FULL,2021-01-27 22:53:40.366643
80,Aerial Yoga 空中瑜珈 by Marcus,FULL,2021-01-27 23:10:33.558657
100,Aerial Yoga 空中瑜珈 by Marcus,FULL,2021-01-27 23:27:32.445300
120,Aerial Yoga 空中瑜珈 by Marcus,FULL,2021-01-27 23:44:27.492653
140,Aerial Yoga 空中瑜珈 by Marcus,FULL,2021-01-28 00:01:22.181860
160,Aerial Yoga 空中瑜珈 by Marcus,FULL,2021-01-28 00:18:15.273170
180,Aerial Yoga 空中瑜珈 by Marcus,FULL,2021-01-28 00:35:08.064547
200,Aerial Yoga 空中瑜珈 by Marcus,FULL,2021-01-28 00:52:03.005856
220,Aerial Yoga 空中瑜珈 by Marcus,FULL,2021-01-28 01:08:55.965794
240,Aerial Yoga 空中瑜珈 by Marcus,FULL,2021-01-28 01:25:48.778031
260,Aerial Yoga 空中瑜珈 by Marcus,FULL,2021-01-28 01:42:41.681358
280,Aerial Yoga 空中瑜珈 by Marcus,FULL,2021-01-28 01:59:40.062098
300,Aerial Yoga 空中瑜珈 by Marcus,FULL,2021-01-28 02:17:23.311869
320,Aerial Yoga 空中瑜珈 by Marcus,FULL,2021-01-28 02:34:17.955423
340,Aerial Yoga 空中瑜珈 by Marcus,FULL,2021-01-28 02:51:11.129659
360,Aerial Yoga 空中瑜珈 by Marcus,FULL,2021-01-28 03:08:05.747128
380,Aerial Yoga 空中瑜珈 by Marcus,FULL,2021-01-28 03:24:59.021320
400,Aerial Yoga 空中瑜珈 by Marcus,FULL,2021-01-28 03:42:55.393984
420,Aerial Yoga 空中瑜珈 by Marcus,FULL,2021-01-28 03:59:48.888243
440,Aerial Yoga 空中瑜珈 by Marcus,FULL,2021-01-28 04:16:42.327682
460,Aerial Yoga 空中瑜珈 by Marcus,FULL,2021-01-28 04:33:35.858968
